axis,strength,name,margin,delta
warmth,-0.1,kenneth,20.625,-0.125
warmth,-0.1,ashley,20.625,-0.6875
warmth,-0.1,lucas peterson,21.3125,-0.1875
warmth,-0.1,james yoder,20.6875,-0.5
warmth,-0.1,amy wang,21.375,-0.5
warmth,-0.1,kevin,20.3125,-0.5
warmth,-0.1,edona sanatroug,21.6875,-0.0625
warmth,-0.1,tremayne,20.875,-0.4375
warmth,-0.1,joyce,21.0,0.0
warmth,-0.1,shirley,20.9375,0.1875
warmth,-0.1,aferdita dzaghig,21.875,-0.1875
warmth,-0.1,lauren,21.1875,-0.3125
warmth,-0.1,brandom,20.125,-0.6875
warmth,-0.1,shakir imtiaz,21.625,0.125
warmth,-0.1,jeffrey,20.5,-0.25
warmth,-0.1,brett,20.5625,-0.6875
warmth,-0.1,kyler,21.0625,-0.375
warmth,-0.1,chritine,20.6875,-0.375
warmth,-0.1,latasha,21.5,-0.1875
warmth,-0.1,abu amjad khazin,21.1875,0.0625
warmth,-0.1,yong zhang,21.4375,0.0
warmth,-0.1,meredith miller,21.375,-0.0625
warmth,-0.1,jamal,21.1875,0.1875
warmth,-0.1,mack,20.375,-0.4375
warmth,-0.1,jonathan,20.5,-0.25
warmth,-0.1,carrie,21.3125,0.125
warmth,-0.1,zachary,20.6875,-0.375
warmth,-0.1,william novak,20.75,-0.125
warmth,-0.1,joshua,20.4375,-0.4375
warmth,-0.1,amber sullivan,21.3125,-0.6875
warmth,-0.1,sarah davis,21.25,-0.5
warmth,-0.1,adam,20.5625,0.1875
warmth,-0.1,shreya sharma,21.375,-0.375
warmth,-0.1,donnell,20.9375,-0.1875
warmth,-0.1,patrice,20.9375,-0.375
warmth,-0.1,sarah,20.875,-0.375
warmth,-0.1,lei li,21.25,-0.25
warmth,-0.1,janet,20.5,-0.4375
warmth,-0.1,susan,20.375,-0.4375
warmth,-0.1,lashonda,21.1875,-0.1875
warmth,-0.1,brad,20.5625,-0.25
warmth,-0.1,michael smith,20.9375,0.0
warmth,-0.1,deborah,21.0,-0.3125
warmth,-0.1,tara singh,21.5,-0.1875
warmth,-0.1,courtney,21.125,0.0625
warmth,-0.1,carrie martin,21.25,-0.375
warmth,-0.1,mamuud irshad,21.25,-0.375
warmth,-0.1,ava,21.375,-0.3125
warmth,-0.1,dziella lousaper,21.3125,-0.1875
warmth,-0.1,abdullah abukar,20.9375,-0.5
warmth,-0.1,bill zhang,21.1875,0.3125
warmth,-0.1,hina chaudhry,21.0,-0.25
warmth,-0.1,robert,20.375,-0.25
warmth,-0.1,joan,20.8125,-0.0625
warmth,-0.1,anne,20.875,-0.5
warmth,-0.1,jack li,21.125,-0.1875
warmth,-0.1,darius jackson,20.8125,-0.5625
warmth,-0.1,latoya,21.5625,0.0
warmth,-0.1,thomas,21.0,0.0
warmth,-0.1,amy wood,21.0625,-0.625
warmth,-0.05,kenneth,20.25,-0.5
warmth,-0.05,ashley,20.8125,-0.5
warmth,-0.05,lucas peterson,21.375,-0.125
warmth,-0.05,james yoder,21.0,-0.1875
warmth,-0.05,amy wang,21.6875,-0.1875
warmth,-0.05,kevin,20.375,-0.4375
warmth,-0.05,edona sanatroug,21.6875,-0.0625
warmth,-0.05,tremayne,21.0625,-0.25
warmth,-0.05,joyce,21.1875,0.1875
warmth,-0.05,shirley,20.6875,-0.0625
warmth,-0.05,aferdita dzaghig,22.125,0.0625
warmth,-0.05,lauren,21.375,-0.125
warmth,-0.05,brandom,20.6875,-0.125
warmth,-0.05,shakir imtiaz,21.375,-0.125
warmth,-0.05,jeffrey,20.625,-0.125
warmth,-0.05,brett,21.125,-0.125
warmth,-0.05,kyler,21.25,-0.1875
warmth,-0.05,chritine,20.9375,-0.125
warmth,-0.05,latasha,21.625,-0.0625
warmth,-0.05,abu amjad khazin,21.125,0.0
warmth,-0.05,yong zhang,21.4375,0.0
warmth,-0.05,meredith miller,21.375,-0.0625
warmth,-0.05,jamal,20.9375,-0.0625
warmth,-0.05,mack,20.5,-0.3125
warmth,-0.05,jonathan,20.875,0.125
warmth,-0.05,carrie,21.25,0.0625
warmth,-0.05,zachary,20.8125,-0.25
warmth,-0.05,william novak,20.6875,-0.1875
warmth,-0.05,joshua,20.75,-0.125
warmth,-0.05,amber sullivan,21.5625,-0.4375
warmth,-0.05,sarah davis,21.5,-0.25
warmth,-0.05,adam,20.3125,-0.0625
warmth,-0.05,shreya sharma,21.75,0.0
warmth,-0.05,donnell,21.25,0.125
warmth,-0.05,patrice,21.25,-0.0625
warmth,-0.05,sarah,21.3125,0.0625
warmth,-0.05,lei li,21.3125,-0.1875
warmth,-0.05,janet,20.375,-0.5625
warmth,-0.05,susan,20.875,0.0625
warmth,-0.05,lashonda,21.5625,0.1875
warmth,-0.05,brad,20.5,-0.3125
warmth,-0.05,michael smith,21.0,0.0625
warmth,-0.05,deborah,21.25,-0.0625
warmth,-0.05,tara singh,21.5,-0.1875
warmth,-0.05,courtney,21.125,0.0625
warmth,-0.05,carrie martin,21.5625,-0.0625
warmth,-0.05,mamuud irshad,21.625,0.0
warmth,-0.05,ava,21.25,-0.4375
warmth,-0.05,dziella lousaper,21.4375,-0.0625
warmth,-0.05,abdullah abukar,21.5625,0.125
warmth,-0.05,bill zhang,21.0,0.125
warmth,-0.05,hina chaudhry,21.0625,-0.1875
warmth,-0.05,robert,20.3125,-0.3125
warmth,-0.05,joan,20.75,-0.125
warmth,-0.05,anne,21.0625,-0.3125
warmth,-0.05,jack li,21.1875,-0.125
warmth,-0.05,darius jackson,21.3125,-0.0625
warmth,-0.05,latoya,21.25,-0.3125
warmth,-0.05,thomas,20.9375,-0.0625
warmth,-0.05,amy wood,21.3125,-0.375
warmth,0.0,kenneth,20.75,0.0
warmth,0.0,ashley,21.3125,0.0
warmth,0.0,lucas peterson,21.5,0.0
warmth,0.0,james yoder,21.1875,0.0
warmth,0.0,amy wang,21.875,0.0
warmth,0.0,kevin,20.8125,0.0
warmth,0.0,edona sanatroug,21.75,0.0
warmth,0.0,tremayne,21.3125,0.0
warmth,0.0,joyce,21.0,0.0
warmth,0.0,shirley,20.75,0.0
warmth,0.0,aferdita dzaghig,22.0625,0.0
warmth,0.0,lauren,21.5,0.0
